Attributes,Adj Close,Close,High,Low,Open,Volume
Symbols,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,,
2020-07-19,9185.817383,9185.817383,9201.398438,9097.632813,9158.005859,12939002784.0
2020-07-20,9164.231445,9164.231445,9214.270508,9137.509766,9187.220703,13755604146.0
2020-07-21,9374.887695,9374.887695,9407.262695,9149.389648,9162.514648,18069581956.0
2020-07-22,9525.363281,9525.363281,9530.518555,9319.65332,9375.080078,16532254884.0
2020-07-23,9581.072266,9581.072266,9610.24707,9483.003906,9527.141602,18146399002.0
2020-07-24,9536.892578,9536.892578,9623.336914,9481.454102,9585.514648,16552768325.0
2020-07-25,9677.113281,9677.113281,9704.556641,9530.211914,9539.485352,16610070933.0
2020-07-26,9905.166992,9905.166992,10023.807617,9652.847656,9680.234375,20507998997.0
2020-07-27,10990.873047,10990.873047,11298.22168,9903.969727,9905.217773,35359749590.0
2020-07-28,10912.823242,10912.823242,11204.327148,10632.631836,11017.463867,28766551142.0
2020-07-29,11100.467773,11100.467773,11304.397461,10856.141602,10912.953125,24617249715.0
2020-07-30,11111.213867,11111.213867,11169.356445,10895.455078,11099.833008,22857247901.0
2020-07-31,11323.466797,11323.466797,11415.864258,10987.053711,11110.210938,23160469766.0
2020-08-01,11759.592773,11759.592773,11794.775391,11239.682617,11322.570313,26075670303.0
2020-08-02,11053.614258,11053.614258,12034.144531,11018.129883,11758.764648,27410067336.0
2020-08-03,11246.348633,11246.348633,11453.079102,11012.415039,11043.768555,20271713443.0
2020-08-04,11205.892578,11205.892578,11385.381836,11094.145508,11246.203125,21250197042.0
2020-08-05,11747.022461,11747.022461,11786.617188,11158.285156,11203.823242,24411254471.0
2020-08-06,11779.773438,11779.773438,11902.335938,11598.713867,11749.871094,23400740340.0
2020-08-07,11601.472656,11601.472656,11898.038086,11408.59375,11778.894531,23132312867.0
2020-08-08,11754.045898,11754.045898,11800.064453,11558.431641,11604.553711,17572057837.0
2020-08-09,11675.739258,11675.739258,11806.056641,11548.78418,11737.325195,17489608833.0
2020-08-10,11878.111328,11878.111328,12045.140625,11662.256836,11662.256836,26114112569.0
2020-08-11,11410.525391,11410.525391,11932.710938,11195.708984,11881.647461,27039782640.0
2020-08-12,11584.93457,11584.93457,11748.396484,11249.605469,11404.59668,25064548486.0
2020-08-13,11784.137695,11784.137695,11796.396484,11216.87207,11588.405273,27522199497.0
2020-08-14,11768.871094,11768.871094,12150.994141,11685.455078,11772.65918,24237958589.0
2020-08-15,11865.698242,11865.698242,11963.203125,11768.697266,11768.697266,23354924400.0
2020-08-16,11892.803711,11892.803711,11934.901367,11737.188477,11866.685547,20583375490.0
2020-08-17,12254.402344,12254.402344,12359.056641,11806.696289,11895.658203,28227687027.0
2020-08-18,11991.233398,11991.233398,12335.707031,11954.525391,12251.895508,26043227672.0
2020-08-19,11758.283203,11758.283203,12028.923828,11687.333008,11990.884766,24502851117.0
2020-08-20,11878.37207,11878.37207,11900.411133,11710.063477,11761.5,20175242945.0
2020-08-21,11592.489258,11592.489258,11899.259766,11564.979492,11878.026367,23762425999.0
2020-08-22,11681.825195,11681.825195,11689.407227,11448.805664,11585.477539,20224191306.0
2020-08-23,11664.847656,11664.847656,11713.429688,11559.920898,11679.696289,18482062658.0
2020-08-24,11774.595703,11774.595703,11807.631836,11623.25,11663.689453,20681511755.0
2020-08-25,11366.134766,11366.134766,11778.299805,11189.850586,11773.588867,26301509932.0
2020-08-26,11488.363281,11488.363281,11530.052734,11296.993164,11366.894531,22466660958.0
2020-08-27,11323.397461,11323.397461,11570.786133,11185.941406,11485.608398,23240415076.0
2020-08-28,11542.5,11542.5,11545.615234,11316.422852,11325.295898,19807127588.0
2020-08-29,11506.865234,11506.865234,11585.640625,11466.292969,11541.054688,17485597759.0
2020-08-30,11711.505859,11711.505859,11715.264648,11492.381836,11508.713867,19760127945.0
